ApplicationURL,Correo,Password,Puntuacion,Valoracion
http://localhost/wordpress/,JosuePerera@gmail.com,8pnbFf36r7,5,excelente producto
http://localhost/wordpress/,GalaFernandez@gmail.com,yA647w9dQE,3,no me gusta como luce
http://localhost/wordpress/,DalilaVillalobos@gmail.com,dR33Ed8scf,4,buen rendimiento
http://localhost/wordpress/,BonifacioCalver@gmail.com,xQ7m82EAr9,2,no enciende despues de una semana
http://localhost/wordpress/,EleuterioFlavio@gmail.com,43QjNxMv6Z,1,pesimo rendimiento
http://localhost/wordpress/,LilianaAlvarez@gmail.com,rAk6pS73vR,3,no resiste el agua
http://localhost/wordpress/,SeverianoBenavent@gmail.com,gQ466jAkz5,4,muy rapido y silencioso
http://localhost/wordpress/,AdeliaRosalina@gmail.com,y32YJwx7us,5,muy buen producto
http://localhost/wordpress/,AsuncionPeiro@gmail.com,hQQac693d9,1,tengo problemas con el HDMI
http://localhost/wordpress/,JuanitaMartinez@gmail.com,7vxj8Scv35,3,se cayo una vez y ya no enciende
